participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.share,participant.control_treatment,participant.private_treatment,participant.journal_treatment,participant.dofus,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.journal,session.config.participation_fee,session.config.full_random,instructions.1.player.id_in_group,instructions.1.player.role,instructions.1.player.payoff,instructions.1.player.confirm_one,instructions.1.group.id_in_subsession,instructions.1.subsession.round_number,science_study.1.player.id_in_group,science_study.1.player.role,science_study.1.player.payoff,science_study.1.player.share,science_study.1.player.check_share,science_study.1.group.id_in_subsession,science_study.1.subsession.round_number,epq.1.player.id_in_group,epq.1.player.role,epq.1.player.payoff,epq.1.player.reflect,epq.1.player.researcher_feedback,epq.1.player.continent,epq.1.player.gender,epq.1.player.age,epq.1.player.risk,epq.1.player.trustworthy,epq.1.player.trusting,epq.1.player.accounting_research,epq.1.player.job_title,epq.1.player.research_area,epq.1.player.research_method,epq.1.player.res_meth_replicates,epq.1.player.acc_replicates,epq.1.player.acc_sub_replicates,epq.1.player.progress,epq.1.player.est_other_post_online,epq.1.player.check_est_other_post_online,epq.1.player.est_you_post_online,epq.1.player.reason_one,epq.1.player.reason_two,epq.1.player.reason_three,epq.1.player.reason_four,epq.1.player.reason_five,epq.1.player.reason_six,epq.1.player.reason_seven,epq.1.player.reason_eight,epq.1.player.reason_nine,epq.1.player.reason_eleven,epq.1.player.reason_twelve,epq.1.player.reason_ten,epq.1.player.reason_ten_text,epq.1.player.likelihood_future_post,epq.1.player.heard_materials,epq.1.player.encourage_others,epq.1.player.acc_favor_public_post,epq.1.player.check_acc_favor_public_post,epq.1.player.heard_prereg,epq.1.player.have_prereg,epq.1.player.first_time_prereg,epq.1.player.trust_prereg,epq.1.player.editors_believe,epq.1.player.check_editors_believe,epq.1.group.id_in_subsession,epq.1.subsession.round_number,end.1.player.id_in_group,end.1.player.role,end.1.player.payoff,end.1.group.id_in_subsession,end.1.subsession.round_number
11,6lo0qkjx,rtxbrs,0,1,10,instructions,Welcome,55:17.3,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,11,,0,0,1,1,11,,0,,,1,1,11,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,11,,0,1,1
12,gr05i41k,33qbwj,0,1,10,,,55:18.6,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,12,,0,0,1,1,12,,0,,,1,1,12,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,12,,0,1,1
13,b9v39ks1,p46lnw,0,9,10,epq,Thank,58:05.9,1,,,0,70,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,13,,0,1,1,1,13,,0,70,1,1,1,13,,0,"Generally, I'd be inclined to share the data and code, but it depends on a) who the other researcher is (are they credible, do I know them) and b) whether I would be allowed to share the data and c) where allowed to share the data whether I am still working on a follow up paper, in which case I would share the materials once that paper is in the public domain.",,4,1,3,7,10,7,1,3,2,1,3,3,3,4,33,0,3,1,0,1,0,0,1,0,0,0,0,1,0,,2,4,3,50,0,4,2,2018,4,90,0,1,1,13,,0,1,1
14,nvd2gck2,w6wcoq,0,3,10,science_study,Decision,02:32.5,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,14,,0,1,1,1,14,,0,,,1,1,14,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,14,,0,1,1
15,d38bqw7s,tzgltx,0,1,10,instructions,Welcome,05:32.1,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,15,,0,0,1,1,15,,0,,,1,1,15,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,15,,0,1,1
16,fjwz0vpl,azo173,0,1,10,instructions,Welcome,10:56.5,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,16,,0,0,1,1,16,,0,,,1,1,16,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,16,,0,1,1
17,crr1jl3g,3nnh5m,0,0,10,,,,1,,,0,,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,17,,0,0,1,1,17,,0,,,1,1,17,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,17,,0,1,1
18,0nhd4bsk,yeb6qq,0,0,10,,,,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,18,,0,0,1,1,18,,0,,,1,1,18,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,18,,0,1,1
19,6osb58cw,mzfoi9,0,1,10,instructions,Welcome,11:08.0,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,19,,0,0,1,1,19,,0,,,1,1,19,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,19,,0,1,1
20,slyu444q,bsok18,0,1,10,,,11:37.3,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,20,,0,0,1,1,20,,0,,,1,1,20,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,20,,0,1,1
21,n28rxjhh,fdy2vi,0,9,10,epq,Thank,17:15.5,1,,,0,40,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,21,,0,1,1,1,21,,0,40,1,1,1,21,,0,"It sounds like they are trying to disprove me. They're on a witch hunt. There's a good chance they are doing this to a lot of people and are, themselves, going to suffer from a file drawer problem. If they re-run 100 people's studies and find that 1 doesn't replicate, that's the one they will publish and descredit and shame the researcher, ignoring the fact that it was likely due to chance, and not noting the 99 who got it right.",,4,1,3,5,8,6,1,3,2,2,4,4,4,4,5,0,2,0,1,0,1,0,0,0,0,0,0,1,1,Nowhere to publicly post them,2,4,1,50,0,4,1,,4,40,0,1,1,21,,0,1,1
22,hfgh0kge,8vxnsc,0,1,10,instructions,Welcome,18:17.5,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,22,,0,0,1,1,22,,0,,,1,1,22,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,22,,0,1,1
23,9a5p3s4n,zk63om,0,1,10,instructions,Welcome,18:20.7,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,23,,0,0,1,1,23,,0,,,1,1,23,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,23,,0,1,1
24,5rddjqum,4yjum4,0,1,10,instructions,Welcome,18:29.6,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,24,,0,0,1,1,24,,0,,,1,1,24,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,24,,0,1,1
25,ypnzqppi,1s901c,0,9,10,epq,Thank,19:04.8,1,,,0,95,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,25,,0,1,1,1,25,,0,95,1,1,1,25,,0,"Unless the data are proprietary with a nondisclosure agreement, I do not see a reason not to share. For code, it depends on whether I think the person is trying to replicate, or if they just want code because they are too lazy or lack the skill to do it themselves.",,5,1,4,7,9,3,1,3,2,1,5,4,4,4,90,0,4,1,0,0,0,0,1,0,0,0,0,0,0,,2,4,3,90,0,3,1,,4,50,0,1,1,25,,0,1,1
26,53el67xy,0poxzs,0,9,10,epq,Thank,20:57.6,1,,,0,100,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,26,,0,1,1,1,26,,0,100,1,1,1,26,,0,I belive in the reproducibility of science experiments. This is how science evolve,,4,1,4,7,10,10,1,3,2,2,5,4,5,5,71,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,2,5,2,70,0,4,1,,3,72,0,1,1,26,,0,1,1
27,btdt64vg,4pw54b,0,1,10,instructions,Welcome,21:54.4,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,27,,0,0,1,1,27,,0,,,1,1,27,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,27,,0,1,1
28,u2vg9sfu,cdafwk,0,9,10,epq,Thank,22:05.3,1,,,0,79,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,28,,0,1,1,1,28,,0,79,1,1,1,28,,0,It depends if the data is proprietary ,,4,1,3,3,5,8,1,2,2,2,4,4,4,5,33,0,4,1,0,0,0,0,0,0,0,0,0,0,0,,2,5,2,75,0,4,1,,5,100,0,1,1,28,,0,1,1
29,vdz1lsz6,jn3nq3,0,9,10,epq,Thank,30:18.2,1,,,0,100,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,29,,0,1,1,1,29,,0,100,1,1,1,29,,0,"I think that a study should be reviewed after publication and ""corrected"" if there are arguments for this. ",,4,1,5,5,10,7,1,3,3,4,2,3,3,4,15,0,3,0,0,0,0,0,0,0,0,0,0,0,1,No one has asked for it,2,2,3,75,0,2,1,,5,90,0,1,1,29,,0,1,1
30,sb8dvcys,0wtkyn,0,1,10,instructions,Welcome,30:43.9,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,30,,0,0,1,1,30,,0,,,1,1,30,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,30,,0,1,1
31,44ybozz4,mxtm7l,0,1,10,instructions,Welcome,41:17.9,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,31,,0,0,1,1,31,,0,,,1,1,31,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,31,,0,1,1
32,1v1mfdpw,mvw5zz,0,1,10,instructions,Welcome,41:23.4,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,32,,0,0,1,1,32,,0,,,1,1,32,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,32,,0,1,1
33,d78typy1,9ih4b2,0,1,10,instructions,Welcome,41:25.4,1,,,0,,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,33,,0,0,1,1,33,,0,,,1,1,33,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,33,,0,1,1
34,oeb5xz46,2doo68,0,8,10,epq,Demographics,45:14.0,1,,,0,10,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,34,,0,1,1,1,34,,0,10,1,1,1,34,,0,"I am working with qualitative data, mostly from ethnographic research. My main concern is that I so far do not see a way of anonymising or pseudonymising a whole data set comprising interview, observation, and document data. Publicly sharing this data violates privacy and data protection rules.",,,,,,,,,,3,4,2,2,2,4,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,1,1,1,30,0,3,1,,4,50,0,1,1,34,,0,1,1
35,otqzflkr,9g6rz1,0,1,10,instructions,Welcome,48:49.9,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,35,,0,0,1,1,35,,0,,,1,1,35,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,35,,0,1,1
36,7u5ron0z,mp12l0,0,9,10,epq,Thank,50:33.4,1,,,0,81,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,36,,0,1,1,1,36,,0,81,1,1,1,36,,0,"I want to help others and sharing data and code can help generate citations to my work. Additionally, refusing to share can carry risks that the requestor will try to stir up controversy around your findings and accuse you of misconduct. However, I would be hesitant to share broadly versus narrowly (i.e., to only the requestor) to avoid helping researchers who will try to undercut my work or use my data and code to create competing research papers that will hurt my publication chances on follow-up studies. I also do not want to help researchers who have previously harmed me and my research.",,5,1,3,3,10,2,1,2,4,2,4,4,4,2,12,0,3,0,1,1,0,0,1,1,0,0,0,1,0,,1,3,1,57,0,2,1,,3,79,0,1,1,36,,0,1,1
37,7q2txbmt,rm4elw,0,1,10,,,50:41.8,1,,,0,,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,37,,0,0,1,1,37,,0,,,1,1,37,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,37,,0,1,1
38,kbjpxoui,spx1yn,0,1,10,instructions,Welcome,56:20.1,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,38,,0,0,1,1,38,,0,,,1,1,38,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,38,,0,1,1
39,1q3gdnhx,4ti5i7,0,1,10,,,03:38.4,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,39,,0,0,1,1,39,,0,,,1,1,39,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,39,,0,1,1
40,roejholr,zuf3am,0,1,10,instructions,Welcome,05:13.3,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,40,,0,0,1,1,40,,0,,,1,1,40,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,40,,0,1,1
41,z8xpt6d9,lm2873,0,9,10,epq,Thank,05:56.5,1,,,0,90,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,41,,0,1,1,1,41,,0,90,1,1,1,41,,0,"Code can be easily shared. With the data, which might be proprietary, can be more problematic. Also, I would have to be certain that the person making the request seems ok, that there is a genuine interest in improving something, and not just laziness on gathering the data or coding, or some more obscure purpose. That is, I would expect a sound letter from this person explaining what they plan to do with whatever they are requesting.",,4,1,4,3,10,6,1,3,2,2,5,4,5,4,20,0,2,1,1,1,1,0,1,0,0,0,0,1,1,"I might feel a bit embarrassed that, while perfectly correct, my coding is messy and unsophisticated",2,5,3,50,0,4,1,,3,75,0,1,1,41,,0,1,1
