scopus_id,author_name,affil_id,affil_name,affil_country,most_current_email
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Canada,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Germany,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Netherlands,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Germany,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Belgium,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United Kingdom,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Ireland,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Sweden,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,France,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Hong Kong,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Hong Kong,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Australia,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Australia,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,China,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Switzerland,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Australia,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Israel,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,China,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United Kingdom,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Canada,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,Spain,RETRACTED
RETRACTED,RETRACTED,RETRACTED,RETRACTED,United States,RETRACTED
